kel,No,Nama Koperasi,Koordinat,Provinsi ,Kota,Kecamatan,Desa,Progres Pembangunan (%),Kategori Pembangunan
1,1,KOPERASI DESA MERAH PUTIH LEDUG KECAMATAN KEMBARAN KABUPATEN BANYUMAS,"-7.42665842,109.2748667",JAWA TENGAH,KAB. BANYUMAS,Kembaran,Ledug,100.00,100%
,2,KOPERASI DESA MERAH PUTIH JIPANG KECAMATAN KARANGLEWAS KABUPATEN BANYUMAS,"-7.401390, 109.191585",JAWA TENGAH,KAB. BANYUMAS,Karanglewas,Jipang,100.00,100%
,3,KOPERASI DESA MERAH PUTIH SUSUKAN KECAMATAN SUMBANG KABUPATEN BANYUMAS,"-7.364630982,109.2902862",JAWA TENGAH,KAB. BANYUMAS,Sumbang,Susukan,100.00,100%
,4,KOPERASI DESA MERAH PUTIH SROWOT KECAMATAN KALIBAGOR KABUPATEN BANYUMAS,"-7.508081457,109.3211792",JAWA TENGAH,KAB. BANYUMAS,Kalibagor,Srowot,100.00,100%
,5,KOPERASI DESA MERAH PUTIH GENTAWANGI KECAMATAN JATILAWANG KABUPATEN BANYUMAS,"-7.52340607, 109.1244994",JAWA TENGAH,KAB. BANYUMAS,Jatilawang,Gentawangi,100.00,100%
2,6,KOPERASI DESA MERAH PUTIH KETENGER KECAMATAN BATURRADEN KABUPATEN BANYUMAS,"-7.303035484,109.2122527",JAWA TENGAH,KAB. BANYUMAS,Baturraden,Ketenger,100.00,100%
,7,KOPERASI DESA MERAH PUTIH KALISOGRA WETAN KECAMATAN KALIBAGOR KABUPATEN BANYUMAS,"-7.452219079,109.3235627",JAWA TENGAH,KAB. BANYUMAS,Kalibagor,Kalisogra Wetan,100.00,100%
,8,KOPERASI DESA MERAH PUTIH KUNTILI KECAMATAN SUMPIUH KABUPATEN BANYUMAS,"-7.6208934,109.3469946",JAWA TENGAH,KAB. BANYUMAS,Sumpiuh,Kuntili,100.00,100%
,9,KOPERASI DESA MERAH PUTIH KEMBARAN KECAMATAN KEMBARAN KABUPATEN BANYUMAS,"-7.411884873,109.2891833",JAWA TENGAH,KAB. BANYUMAS,Kembaran,Kembaran,100.00,100%
,10,KOPERASI DESA MERAH PUTIH PREMBUN KECAMATAN TAMBAK KABUPATEN BANYUMAS,"-7.6308009,109.4143741",JAWA TENGAH,KAB. BANYUMAS,Tambak,Prembun,100.00,100%
3,11,KOPERASI DESA MERAH PUTIH KALITAPEN KECAMATAN PURWOJATI KABUPATEN BANYUMAS,"-7.378898, 109.257090",JAWA TENGAH,KAB. BANYUMAS,Purwojati,Kalitapen,100.00,100%
,12,KOPERASI DESA MERAH PUTIH JATISABA KECAMATAN CILONGOK KABUPATEN BANYUMAS,"-7.434605, 109.128733",JAWA TENGAH,KAB. BANYUMAS,Cilongok,Jatisaba,100.00,100%
,13,KOPERASI DESA MERAH PUTIH LESMANA KECAMATAN AJIBARANG KABUPATEN BANYUMAS,"-7.374833, 109.231147",JAWA TENGAH,KAB. BANYUMAS,Ajibarang,Lesmana,100.00,100%
,14,KOPERASI DESA MERAH PUTIH KARANGSALAM KIDUL KECAMATAN KEDUNGBANTENG KABUPATEN BANYUMAS,"7.612223, 109.325529",JAWA TENGAH,KAB. BANYUMAS,Kedungbanteng,Karangsalam Kidul,100.00,100%
,15,KOPERASI DESA MERAH PUTIH PASINGGANGAN KECAMATAN BANYUMAS KABUPATEN BANYUMAS,"-7.471747, 109.205289",JAWA TENGAH,KAB. BANYUMAS,Banyumas,Pasinggangan,100.00,100%
4,16,KOPERASI DESA MERAH PUTIH DUKUHWALUH KECAMATAN KEMBARAN KABUPATEN BANYUMAS,"-7.409390, 109.269227",JAWA TENGAH,KAB. BANYUMAS,Kembaran,Dukuhwaluh,100.00,100%
