kecamatan;latitude;longitude;geometry;jumlah_tile;rwi_mean;rwi_median;rwi_min;rwi_max;indeks_kemiskinan_mean;rank_termiskin;kabupaten;provinsi;tahun_data;sumber;interpretasi
Lumbir;-7.48;108.865;POINT(108.865 -7.48);20;-141.159;-13.815;-19.546;-0.892;0.674079952088636;1;Banyumas;Jawa Tengah;2023;Meta RWI - HDX;Sangat Miskin
Wangon;-7.5;108.935;POINT(108.935 -7.5);9;-12.618.222.222.222.200;-12.352;-16.927;-0.9407;0.6292325863818602;2;Banyumas;Jawa Tengah;2023;Meta RWI - HDX;Sangat Miskin
Jatilawang;-7.53;109.005;POINT(109.005 -7.53);12;-12.404.083.333.333.300;-12.971;-15.892;-0.8966;0.6228202824774168;3;Banyumas;Jawa Tengah;2023;Meta RWI - HDX;Sangat Miskin
Gumelar;-7.39;108.92;POINT(108.92 -7.39);10;-116.052;-11.645;-1.349;-0.9354;0.5988980386285372;4;Banyumas;Jawa Tengah;2023;Meta RWI - HDX;Sangat Miskin
Tidak Diketahui;;;;527;-0.9762075901328272;-0.9716;-2.5;0.5256;0.5437064201625476;5;Banyumas;Jawa Tengah;2023;Meta RWI - HDX;Miskin
Ajibarang;-7.41;108.975;POINT(108.975 -7.41);20;-0.81375;-0.8068;-11.461;-0.3903;0.4950591405899087;6;Banyumas;Jawa Tengah;2023;Meta RWI - HDX;Miskin
Tambak;-7.615;109.365;POINT(109.365 -7.615);32;-0.699865625;-0.6890499999999999;-12.778;-0.2786;0.4609569172031741;7;Banyumas;Jawa Tengah;2023;Meta RWI - HDX;Miskin
Rawalo;-7.535;109.09;POINT(109.09 -7.535);12;-0.680675;-0.66955;-12.242;-0.1364;0.4552103608324599;8;Banyumas;Jawa Tengah;2023;Meta RWI - HDX;Miskin
Pekuncen;-7.395;109.04;POINT(109.04 -7.395);10;-0.65286;-0.5881000000000001;-0.8915;-0.4487;0.4468812696511454;9;Banyumas;Jawa Tengah;2023;Meta RWI - HDX;Miskin
Kemranjen;-7.56;109.125;POINT(109.125 -7.56);9;-0.5951444444444445;-0.4665;-12.418;-0.1238;0.4295985759677929;10;Banyumas;Jawa Tengah;2023;Meta RWI - HDX;Miskin
Sumpiuh;-7.595;109.22;POINT(109.22 -7.595);25;-0.446952;-0.4651;-0.96;-0.1004;0.3852229375655038;11;Banyumas;Jawa Tengah;2023;Meta RWI - HDX;Miskin
Somagede;-7.53;109.23;POINT(109.23 -7.53);11;-0.1190090909090909;-0.0698;-0.3633;0.0308;0.2870217370591678;12;Banyumas;Jawa Tengah;2023;Meta RWI - HDX;Menengah
Kebasen;-7.515;109.145;POINT(109.145 -7.515);8;0.0804375;0.09085;-0.143;0.434;0.2272982482407546;13;Banyumas;Jawa Tengah;2023;Meta RWI - HDX;Menengah
Kalibagor;-7.49;109.3;POINT(109.3 -7.49);18;0.1386444444444444;0.25875;-0.3554;0.6083;0.2098684101079669;14;Banyumas;Jawa Tengah;2023;Meta RWI - HDX;Menengah
Cilongok;-7.385;109.105;POINT(109.105 -7.385);21;0.1451190476190476;0.2518;-0.6429;0.5132;0.2079296159248248;15;Banyumas;Jawa Tengah;2023;Meta RWI - HDX;Menengah
Baturraden;-7.335;109.23;POINT(109.23 -7.335);7;0.3051;0.2373;0.0974;0.5822;0.1600239556819883;16;Banyumas;Jawa Tengah;2023;Meta RWI - HDX;Sejahtera
Purwojati;-7.48;109.145;POINT(109.145 -7.48);8;0.358075;0.35235;0.1487;0.5086;0.1441608025153466;17;Banyumas;Jawa Tengah;2023;Meta RWI - HDX;Sejahtera
Kedungbanteng;-7.375;109.205;POINT(109.205 -7.375);8;0.364725;0.31955;0.1966;0.6095;0.1421694864500673;18;Banyumas;Jawa Tengah;2023;Meta RWI - HDX;Sejahtera
Sokaraja;-7.45;109.295;POINT(109.295 -7.45);5;0.36832;0.3419;0.11;0.6731;0.1410929779907172;19;Banyumas;Jawa Tengah;2023;Meta RWI - HDX;Sejahtera
Sumbang;-7.345;109.275;POINT(109.275 -7.345);11;0.4483181818181818;0.3975;0.212;0.8182;0.1171378404497135;20;Banyumas;Jawa Tengah;2023;Meta RWI - HDX;Sejahtera
Banyumas;-7.51;109.26;POINT(109.26 -7.51);1;0.4605;0.4605;0.4605;0.4605;0.1134900434196736;21;Banyumas;Jawa Tengah;2023;Meta RWI - HDX;Sejahtera
Patikraja;-7.485;109.23;POINT(109.23 -7.485);3;0.5520999999999999;0.582;0.4439;0.6304;0.0860607875430454;22;Banyumas;Jawa Tengah;2023;Meta RWI - HDX;Sejahtera
Karanglewas;-7.405;109.2;POINT(109.2 -7.405);15;0.5908466666666666;0.6165;0.3387;0.8395;0.0744582522333683;23;Banyumas;Jawa Tengah;2023;Meta RWI - HDX;Sejahtera
Kembaran;-7.395;109.285;POINT(109.285 -7.395);3;0.6417333333333334;0.6941;0.4576;0.7735;0.0592204421819633;24;Banyumas;Jawa Tengah;2023;Meta RWI - HDX;Sejahtera
