Nama Koperasi,Kecamatan,Desa,lat,lon,Progres Pembangunan (%),Kategori Pembangunan,jarak_faskes_m,jarak_pendidikan_m,jarak_jalan_m,jarak_pemukiman_m,faskes_500m,faskes_1km,pendidikan_500m,pendidikan_1km,skor_rentan,kategori_rentan
KOPERASI DESA MERAH PUTIH LEDUG KECAMATAN KEMBARAN KABUPATEN BANYUMAS,Kembaran,Ledug,-7.42665842,109.2748667,100.0,100%,1351.506725219429,682.1910280991249,244.4426374118925,93.76053171848552,0,0,0,1,0.0002918177753399212,Rendah
KOPERASI DESA MERAH PUTIH JIPANG KECAMATAN KARANGLEWAS KABUPATEN BANYUMAS,Karanglewas,Jipang,-7.40139,109.191585,100.0,100%,4072.0630785112894,1894.997912935892,965.8557695237571,50.98145804048994,0,0,0,0,0.0010735319478896801,Rendah
KOPERASI DESA MERAH PUTIH SUSUKAN KECAMATAN SUMBANG KABUPATEN BANYUMAS,Sumbang,Susukan,-7.364630982,109.2902862,100.0,100%,3334.2843462791566,2453.6612596635123,1867.62717488987,22.139965264858223,0,0,0,0,0.0011572831860740982,Rendah
KOPERASI DESA MERAH PUTIH SROWOT KECAMATAN KALIBAGOR KABUPATEN BANYUMAS,Kalibagor,Srowot,-7.508081457,109.3211792,100.0,100%,3333.465833339186,3093.4189788855037,5059.597524729069,123.60624614567443,0,0,0,0,0.0017499130561818234,Rendah
KOPERASI DESA MERAH PUTIH GENTAWANGI KECAMATAN JATILAWANG KABUPATEN BANYUMAS,Jatilawang,Gentawangi,-7.52340607,109.1244994,100.0,100%,8243.060339464437,1541.9487138932273,12077.309321966333,161.0222206065884,0,0,0,0,0.0034741077761778908,Rendah
KOPERASI DESA MERAH PUTIH KETENGER KECAMATAN BATURRADEN KABUPATEN BANYUMAS,Baturraden,Ketenger,-7.303035484,109.2122527,100.0,100%,4217.505774126062,2664.0881681640044,2349.2899400191423,785.9685740559596,0,0,0,0,0.0015152911321907234,Rendah
KOPERASI DESA MERAH PUTIH KALISOGRA WETAN KECAMATAN KALIBAGOR KABUPATEN BANYUMAS,Kalibagor,Kalisogra Wetan,-7.452219079,109.3235627,100.0,100%,948.5289708931398,646.0185906612148,1077.5342357756945,25.14721813266659,0,1,0,1,0.00033104593431316316,Rendah
KOPERASI DESA MERAH PUTIH KUNTILI KECAMATAN SUMPIUH KABUPATEN BANYUMAS,Sumpiuh,Kuntili,-7.6208934,109.3469946,100.0,100%,11388.391652672446,11738.552302659808,16049.419843381806,3.8149038879923753,0,0,0,0,0.006171917127474111,Rendah
KOPERASI DESA MERAH PUTIH KEMBARAN KECAMATAN KEMBARAN KABUPATEN BANYUMAS,Kembaran,Kembaran,-7.411884873,109.2891833,100.0,100%,1650.9360545833144,1372.5508065799831,309.7510427081135,149.10994110005677,0,0,0,0,0.00046734401619989555,Rendah
KOPERASI DESA MERAH PUTIH PREMBUN KECAMATAN TAMBAK KABUPATEN BANYUMAS,Tambak,Prembun,-7.6308009,109.4143741,100.0,100%,16907.827132482078,17110.22677099791,21847.59848073417,94.20670118048045,0,0,0,0,0.008876883458985458,Rendah
KOPERASI DESA MERAH PUTIH KALITAPEN KECAMATAN PURWOJATI KABUPATEN BANYUMAS,Purwojati,Kalitapen,-7.378898,109.25709,100.0,100%,3497.1955065342386,1115.8098710915735,917.9517506880323,90.05196192550251,0,0,0,0,0.0008486527949222797,Rendah
KOPERASI DESA MERAH PUTIH JATISABA KECAMATAN CILONGOK KABUPATEN BANYUMAS,Cilongok,Jatisaba,-7.434605,109.128733,100.0,100%,6025.177272635877,4306.575899030615,8066.997990479118,237.07783934854916,0,0,0,0,0.0028917470399885525,Rendah
KOPERASI DESA MERAH PUTIH LESMANA KECAMATAN AJIBARANG KABUPATEN BANYUMAS,Ajibarang,Lesmana,-7.374833,109.231147,100.0,100%,4372.917153673303,1586.4875214215363,441.23893128523036,8.963706116388856,0,0,0,0,0.000996857284861723,Rendah
KOPERASI DESA MERAH PUTIH KARANGSALAM KIDUL KECAMATAN KEDUNGBANTENG KABUPATEN BANYUMAS,Kedungbanteng,Karangsalam Kidul,7.612223,109.325529,100.0,100%,1652812.852581976,1650958.5668505388,1650231.8689617673,1646040.996849752,0,0,0,0,1.0,Tinggi
KOPERASI DESA MERAH PUTIH PASINGGANGAN KECAMATAN BANYUMAS KABUPATEN BANYUMAS,Banyumas,Pasinggangan,-7.471747,109.205289,100.0,100%,2027.5193880306797,4493.756675113566,3255.530090892935,10.438849575884706,0,0,0,0,0.001437785581164543,Rendah
KOPERASI DESA MERAH PUTIH DUKUHWALUH KECAMATAN KEMBARAN KABUPATEN BANYUMAS,Kembaran,Dukuhwaluh,-7.40939,109.269227,100.0,100%,572.1336274799369,602.917474874889,655.4134549729702,10.04985944101243,0,1,0,1,0.0001903935239249961,Rendah
KOPERASI DESA MERAH PUTIH SOKAWERA KECAMATAN SOMAGEDE KABUPATEN BANYUMAS,Somagede,Sokawera,-7.5204,109.308975,100.0,100%,1417.7567894397325,1696.3887959363221,5287.382838273882,23.201478081174326,0,0,0,0,0.001212839830144156,Rendah
KOPERASI DESA MERAH PUTIH KANDING KECAMATAN SOMAGEDE KABUPATEN BANYUMAS,Somagede,Kanding,-7.516333,109.340432,100.0,100%,4713.096266905823,3176.1650149430448,6911.123891715694,30.389478945299988,0,0,0,0,0.0022821138976829424,Rendah
KOPERASI DESA MERAH PUTIH PAJERUKAN KECAMATAN KALIBAGOR KABUPATEN BANYUMAS,Kalibagor,Pajerukan,-7.473034,109.308856,100.0,100%,2034.860123069137,1108.4758185518704,1012.6446408288673,32.42429190430657,0,0,0,0,0.0005893721252597386,Rendah
KOPERASI DESA MERAH PUTIH PEJOGOL KECAMATAN CILONGOK KABUPATEN BANYUMAS,Cilongok,Pejogol,-7.428019,109.176441,100.0,100%,5373.61275932423,3066.670822716378,2776.039042040897,3.0098530957082357,0,0,0,0,0.0017556845885914178,Rendah
KOPERASI DESA MERAH PUTIH SUNYALANGU KECAMATAN KARANGLEWAS KABUPATEN BANYUMAS,Karanglewas,Sunyalangu,-7.366513,109.174111,100.0,100%,7678.965309539613,5902.784459160634,1149.8352341313532,13.69769856923441,0,0,0,0,0.0023586666523645753,Rendah
KOPERASI DESA MERAH PUTIH PAPRINGAN KECAMATAN BANYUMAS KABUPATEN BANYUMAS,Banyumas,Papringan,-7.506284,109.248367,100.0,100%,4234.140452469301,5091.550614600613,1957.1999603110683,6.540644773613382,0,0,0,0,0.0017317949888177838,Rendah
KOPERASI DESA MERAH PUTIH BABAKAN KECAMATAN KARANGLEWAS KABUPATEN BANYUMAS,Karanglewas,Babakan,-7.382737,109.186917,100.0,100%,5715.6408963765925,3726.5937056479106,1428.428235618244,20.477371657663905,0,0,0,0,0.0017156812970218077,Rendah
KOPERASI DESA MERAH PUTIH MANDIRANCAN KECAMATAN KEBASEN KABUPATEN BANYUMAS,Kebasen,Mandirancan,-7.503641,109.229784,100.0,100%,2388.520796516123,4758.571325000742,1538.327320619997,186.12249094696318,0,0,0,0,0.0013046285175393074,Rendah
KOPERASI DESA MERAH PUTIH SOKARAJA WETAN KECAMATAN SOKARAJA KABUPATEN BANYUMAS,Sokaraja,Sokaraja Wetan,-7.454977,109.304635,100.0,100%,542.8549577681658,493.724651413237,373.39210692598726,12.677004557610067,0,1,1,5,0.00012613649075849257,Rendah
KOPERASI DESA MERAH PUTIH GUMELAR KECAMATAN GUMELAR KABUPATEN BANYUMAS,Gumelar,Gumelar,-7.373486,108.978213,100.0,100%,11919.380841703955,754.9798613715835,22753.296601733437,13.76688564023039,0,0,0,1,0.005621924080667818,Rendah
KOPERASI DESA MERAH PUTIH SAMBENG KULON KECAMATAN KEMBARAN KABUPATEN BANYUMAS,Kembaran,Sambeng Kulon,-7.405459503,109.3023893,100.0,100%,1810.315139679452,1426.3278176465226,824.416256240099,220.97073241876424,0,0,0,0,0.0005911269189418787,Rendah
KOPERASI DESA MERAH PUTIH LEBENG KECAMATAN SUMPIUH KABUPATEN BANYUMAS,Sumpiuh,Lebeng,-7.599445,109.343995,100.0,100%,9162.084771183416,9561.909279753014,13941.902342174828,29.080266039781197,0,0,0,0,0.005121872696086032,Rendah
KOPERASI DESA MERAH PUTIH KUTALIMAN KECAMATAN KEDUNGBANTENG KABUPATEN BANYUMAS,Kedungbanteng,Kutaliman,-7.36405,109.213657,100.0,100%,4139.852519405401,2838.8457607377577,992.6616244197859,51.96238497986263,0,0,0,0,0.0012329460926355225,Rendah
